data,adresas,pasto_kodas,tipas,plotas_m2,kambariai,priklausiniai,kaina_eur,eur_m2,atstumas_m,latitude,longitude,sklypas
2024-04-22,7 AV DU GENERAL HEURTAUX,44330.0,namas,68.0,3.0,0,225000.0,3309.0,324.0,47.161789,-1.270692,44212000AY1644
2025-12-10,13 RUE DES BOURGUIGNONS,44330.0,namas,77.0,3.0,0,155000.0,2013.0,328.0,47.160056,-1.27066,44212000ZS0709
2023-05-30,10 RUE DU CHENE VERDET,44330.0,namas,71.0,5.0,1,390000.0,5493.0,329.0,47.163579,-1.264392,44212000AY0151
2023-10-31,9 AV DU GENERAL HEURTAUX,44330.0,namas,88.0,4.0,0,300000.0,3409.0,333.0,47.161827,-1.270797,44212000AY1643
2024-01-31,1 RUE DES JARDINS,44330.0,namas,86.0,4.0,0,285000.0,3314.0,336.0,47.163308,-1.269454,44212000AY1876
2025-06-11,13 BOURGUIGNON,44330.0,namas,50.0,2.0,0,65990.0,1320.0,336.0,47.160093,-1.270786,44212000ZS0134
2022-12-16,1 RTE DE LA LOIRE,44330.0,namas,110.0,4.0,0,300000.0,2727.0,339.0,47.163433,-1.269296,44212000AY0786
2022-03-07,12 RUE DU CHENE VERDET,44330.0,namas,90.0,5.0,0,270000.0,3000.0,345.0,47.163765,-1.264445,44212000AY0755
2022-07-11,RUE DES BOURGUIGNONS,44330.0,namas,85.0,3.0,1,280000.0,3294.0,348.0,47.159897,-1.270847,44212000ZS0138
2024-09-26,11 AV DU GENERAL HEURTAUX,44330.0,namas,85.0,4.0,1,280000.0,3294.0,355.0,47.161946,-1.271048,44212000AX0060
2021-01-21,72 RUE D ANJOU,44330.0,namas,60.0,4.0,0,172000.0,2867.0,363.0,47.162016,-1.261992,44212000AY1762
2024-02-14,10 RUE GUERIN PARIS,44330.0,namas,110.0,5.0,0,125000.0,1136.0,365.0,47.163218,-1.26299,44212000AY0760
2022-09-30,31 RUE D ANJOU,44330.0,namas,45.0,2.0,0,235560.0,5235.0,366.0,47.162322,-1.262126,44212000AY0189
2024-03-07,72 RUE D ANJOU,44330.0,namas,60.0,4.0,0,225000.0,3750.0,368.0,47.162052,-1.261938,44212000AY1763
2025-04-22,1 RTE DES DORICES,44330.0,namas,87.0,4.0,1,257000.0,2954.0,370.0,47.164342,-1.266393,44212000AR0289
2022-04-27,12 RUE GUERIN PARIS,44330.0,namas,80.0,4.0,1,290000.0,3625.0,388.0,47.163247,-1.262613,44212000AY0761
2022-02-25,27 RUE SAINT VINCENT,44330.0,butas,23.0,2.0,1,62000.0,2696.0,391.0,47.16117,-1.271723,44212000AY0716
2022-03-30,27 RUE SAINT VINCENT,44330.0,butas,59.0,3.0,2,140000.0,2373.0,391.0,47.16117,-1.271723,44212000AY0716
2021-04-06,27 RUE SAINT VINCENT,44330.0,butas,26.0,2.0,1,61400.0,2362.0,391.0,47.16117,-1.271723,44212000AY0716
2021-10-05,27 RUE SAINT VINCENT,44330.0,butas,59.0,3.0,1,139725.0,2368.0,391.0,47.16117,-1.271723,44212000AY0716
2021-03-30,27 RUE SAINT VINCENT,44330.0,butas,26.0,2.0,1,76000.0,2923.0,391.0,47.16117,-1.271723,44212000AY0716
2021-07-07,27 RUE SAINT VINCENT,44330.0,butas,59.0,3.0,2,140000.0,2373.0,391.0,47.16117,-1.271723,44212000AY0716
2021-08-12,27 RUE SAINT VINCENT,44330.0,butas,23.0,1.0,1,62000.0,2696.0,391.0,47.16117,-1.271723,44212000AY0716
2024-05-22,27 RUE SAINT VINCENT,44330.0,butas,26.0,2.0,1,94000.0,3615.0,391.0,47.16117,-1.271723,44212000AY0716
2022-02-01,27 RUE SAINT VINCENT,44330.0,butas,26.0,2.0,1,72000.0,2769.0,391.0,47.16117,-1.271723,44212000AY0716
2022-12-12,16 RUE DU CHENE VERDET,44330.0,namas,76.0,5.0,1,300000.0,3947.0,396.0,47.164083,-1.263918,44212000AY1405
2021-04-27,16 RTE DE CLISSON,44330.0,namas,125.0,4.0,0,260395.0,2083.0,397.0,47.159084,-1.270975,44212000ZS0148
2021-07-23,15 AV DU GENERAL HEURTAUX,44330.0,namas,102.0,5.0,0,412000.0,4039.0,400.0,47.162045,-1.271618,44212000AX0249
2022-06-21,14 RUE GUERIN PARIS,44330.0,namas,102.0,4.0,0,232500.0,2279.0,411.0,47.163365,-1.262373,44212000AY0762
2021-07-23,19 RUE DES BOURGUIGNONS,44330.0,namas,160.0,6.0,0,440000.0,2750.0,413.0,47.159445,-1.271504,44212000ZS0566
2025-07-04,10 RUE SAINT VINCENT,44330.0,namas,77.0,3.0,0,275500.0,3578.0,415.0,47.161459,-1.272006,44212000AX0193
2021-05-17,5 RTE DE LA LOIRE,44330.0,namas,70.0,4.0,0,210000.0,3000.0,416.0,47.163938,-1.269996,44212000AY1464
2025-05-16,15 BD EVARISTE DEJOIE,44330.0,butas,95.0,4.0,1,321000.0,3379.0,423.0,47.164714,-1.267862,44212000AY0094
2022-10-07,8276 RUE DE BAZOGES,44330.0,namas,70.0,1.0,0,129500.0,1850.0,437.0,47.158779,-1.261817,44212000ZX0106
2023-06-09,8 RUE DU VAL DE LOGNE,44330.0,namas,101.0,5.0,0,150000.0,1485.0,439.0,47.161552,-1.26082,44212000AZ0230
2021-05-28,2 BD PIERRE DURAND,44330.0,namas,92.0,4.0,0,335200.0,3643.0,457.0,47.163131,-1.27173,44212000AY0744
2024-08-05,11 RTE DE LA LOIRE,44330.0,namas,90.0,5.0,1,252000.0,2800.0,458.0,47.164141,-1.270505,44212000AY0013
2021-06-10,11 RTE DE LA LOIRE,44330.0,namas,90.0,5.0,1,165000.0,1833.0,458.0,47.164141,-1.270505,44212000AY0013
2024-01-30,20 RUE DU VAL DE LOGNE,44330.0,namas,84.0,4.0,0,325000.0,3869.0,463.0,47.161088,-1.260445,44212000AZ0506
2024-02-21,10 RTE DES DORICES,44330.0,namas,89.0,3.0,1,320500.0,3601.0,466.0,47.16513,-1.265417,44212000AR0326
2021-11-22,39 RUE SAINT CHRISTOPHE,44330.0,namas,70.0,2.0,0,130000.0,1857.0,474.0,47.156846,-1.267785,44212000ZS0294
2022-04-07,35 RUE SAINT VINCENT,44330.0,namas,64.0,3.0,0,177000.0,2766.0,479.0,47.161295,-1.272881,44212000ZR0205
2023-03-23,12 RUE DU VAL DE LOGNE,44330.0,namas,82.0,4.0,0,240000.0,2927.0,482.0,47.161717,-1.260276,44212000AZ0210
2022-08-02,6 RTE DE LA LOIRE,44330.0,namas,180.0,4.0,1,433200.0,2407.0,489.0,47.164625,-1.270257,44212000AT0636
