data,adresse,pasto_kodas,tipas,plotas_m2,kambariai,priklausiniai,kaina_eur,eur_m2,atstumas_m,latitude,longitude,sklypas
2021-10-19,1 RUE GAL BUAT,44000.0,butas,38.0,2.0,1,130000.0,3421.0,1120.0,47.233508,-1.535731,44109000BX0639
2024-11-08,1 RUE GAL BUAT,44000.0,butas,63.0,3.0,1,210000.0,3333.0,1120.0,47.233508,-1.535731,44109000BX0639
2025-12-16,6 RUE FREDERIC CAILLIAUD,44000.0,butas,80.0,5.0,2,398000.0,4975.0,1120.0,47.218826,-1.540394,44109000ES0247
2021-08-31,26 RUE GAL BUAT,44000.0,butas,53.0,2.0,1,247000.0,4660.0,1120.0,47.232876,-1.53718,44109000BY0180
2025-05-14,6 RUE FREDERIC CAILLIAUD,44000.0,butas,31.0,2.0,0,95000.0,3065.0,1120.0,47.218826,-1.540394,44109000ES0247
2022-07-29,8 RUE FREDERIC CAILLIAUD,44000.0,butas,63.0,3.0,1,285000.0,4524.0,1121.0,47.218953,-1.540533,44109000ES0323
2021-04-08,8 RUE FREDERIC CAILLIAUD,44000.0,butas,61.0,3.0,1,205000.0,3361.0,1121.0,47.218953,-1.540533,44109000ES0323
2022-09-30,8 RUE MORAND,44000.0,namas,60.0,3.0,1,837500.0,13958.0,1122.0,47.232015,-1.538721,44109000BY0274
2025-09-15,5 RUE EVEQUE EMILIEN,44000.0,butas,76.0,3.0,1,360000.0,4737.0,1122.0,47.228491,-1.5422,44109000BZ0689
2024-08-22,53 CHE DU PONCEAU,44300.0,namas,78.0,4.0,0,349000.0,4474.0,1125.0,47.226583,-1.513781,44109000BT0155
2024-01-17,4 RUE FREDERIC CAILLIAUD,44000.0,butas,20.0,1.0,1,61500.0,3075.0,1126.0,47.218662,-1.540308,44109000ES0248
2025-10-21,4 RUE DES PERRINES,44300.0,butas,76.0,4.0,2,255000.0,3355.0,1126.0,47.228309,-1.514477,44109000BS0616
2022-07-07,4 RUE FREDERIC CAILLIAUD,44000.0,butas,53.0,2.0,1,198000.0,3736.0,1126.0,47.218662,-1.540308,44109000ES0248
2021-08-10,4 RUE DES PERRINES,44300.0,butas,68.0,3.0,1,300000.0,4412.0,1126.0,47.228309,-1.514477,44109000BS0616
2022-12-30,4 RUE FREDERIC CAILLIAUD,44000.0,butas,46.0,2.0,1,84500.0,1837.0,1126.0,47.218662,-1.540308,44109000ES0248
2025-12-15,4 RUE DES PERRINES,44300.0,butas,39.0,2.0,1,130000.0,3333.0,1126.0,47.228309,-1.514477,44109000BS0616
2022-08-30,4 RUE DES PERRINES,44300.0,butas,28.0,1.0,1,120000.0,4286.0,1126.0,47.228309,-1.514477,44109000BS0616
2022-09-23,4 RUE FREDERIC CAILLIAUD,44000.0,butas,56.0,2.0,1,193500.0,3455.0,1126.0,47.218662,-1.540308,44109000ES0248
2021-12-23,4 RUE DES PERRINES,44300.0,butas,33.0,2.0,1,118000.0,3576.0,1126.0,47.228309,-1.514477,44109000BS0616
2024-07-29,4 RUE FREDERIC CAILLIAUD,44000.0,butas,46.0,2.0,2,87500.0,1902.0,1126.0,47.218662,-1.540308,44109000ES0248
2023-11-17,4 RUE FREDERIC CAILLIAUD,44000.0,butas,46.0,2.0,1,62000.0,1348.0,1126.0,47.218662,-1.540308,44109000ES0248
2022-02-28,166 BD DES POILUS,44300.0,namas,122.0,7.0,1,900000.0,7377.0,1127.0,47.233906,-1.534809,44109000AZ0411
2024-04-05,166 BD DES POILUS,44300.0,namas,122.0,7.0,1,1560000.0,12787.0,1127.0,47.233906,-1.534809,44109000AZ0411
2021-04-16,1 RUE DESAIX,44000.0,butas,60.0,3.0,0,235000.0,3917.0,1128.0,47.227095,-1.542935,44109000EV0216
2024-09-19,19 AV CLAUDE KOGAN,44300.0,butas,31.0,2.0,0,130000.0,4194.0,1130.0,47.234849,-1.526856,44109000BC0151
2024-12-12,19 AV CLAUDE KOGAN,44300.0,butas,33.0,2.0,0,131000.0,3970.0,1130.0,47.234849,-1.526856,44109000BC0151
2025-02-06,19 AV CLAUDE KOGAN,44300.0,butas,24.0,2.0,0,144000.0,6000.0,1130.0,47.234849,-1.526856,44109000BC0151
2023-06-29,24 AV DES TROPIQUES,44300.0,namas,83.0,3.0,0,162500.0,1958.0,1131.0,47.224046,-1.513491,44109000BT0339
